,Unnamed: 0,Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
257,257,2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,149,12.6,15.7
258,258,2011,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,510,36,21
259,259,2012,All Other Causes,F,Not Stated/Unknown,53,10000,10000
260,260,2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,5351,374.2,189.2
261,261,2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,113,9.6,9.6
262,262,2010,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,6,10000,10000
263,263,2009,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1180,105.1,172.2
264,264,2010,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,64,12.3,15.5
265,265,2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Asian and Pacific Islander,19,3.6,4.2
266,266,2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,8,10000,10000
267,267,2011,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,6,10000,10000
268,268,2013,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,238,16.7,10.4
269,269,2014,Cerebrovascular Disease (Stroke: I60-I69),M,Not Stated/Unknown,8,10000,10000
270,270,2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,0,10000,10000
271,271,2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,329,38.7,38.5
272,272,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1418,121.5,164.3
273,273,2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,178,12.4,8.3
274,274,2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5,10000,10000
275,275,2014,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,197,22.8,26.4
276,276,2011,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,27,10000,10000
277,277,2009,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,229,15.9,9.5
278,278,2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,206,14.5,7.5
279,279,2012,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,240,16.9,10.3
280,280,2007,Mental and Behavioral Disorders due to Use of Alcohol (F10),M,Not Stated/Unknown,0,10000,10000
281,281,2010,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3408,254.1,216.6
282,282,2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,56,10.4,12
283,283,2012,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,576,40.6,20.2
284,284,2009,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,0,10000,10000
285,285,2013,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,99,10000,10000
286,286,2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,8,10000,10000
287,287,2013,All Other Causes,F,Black Non-Hispanic,1557,149.1,129.5
288,288,2014,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,218,17.2,18.8
289,289,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,115,10000,10000
290,290,2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,0,10000,10000
291,291,2008,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,11,10000,10000
292,292,2013,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1784,170.8,145.5
293,293,2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,0,10000,10000
294,294,2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,8,10000,10000
295,295,2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,102,9.7,8.5
296,296,2009,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,0,10000,10000
297,297,2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,279,20.7,18.7
298,298,2012,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,76,7.3,6.3
299,299,2009,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,458,31.9,19.1
300,300,2014,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7,10000,10000
301,301,2011,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,8,10000,10000
302,302,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,462,73.8,81.1
303,303,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,82,10000,10000
304,304,2011,Tuberculosis (A16-A19),F,Not Stated/Unknown,0,10000,10000
305,305,2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,156,11.6,9.3
306,306,2011,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,30,5.3,6.6
307,307,2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Other Race/ Ethnicity,0,10000,10000
308,308,2011,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,0,10000,10000
309,309,2011,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,8,10000,10000
310,310,2011,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,243,28.5,38
311,311,2007,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,164,14,18.3
312,312,2012,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,53,10000,10000
313,313,2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,29,4.6,5.1
314,314,2007,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,969,83,100.7
315,315,2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,22,4.3,3.9
316,316,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,53,11,13
317,317,2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,70,5.7,5.7
318,318,2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,148,17.2,20.9
319,319,2009,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,35,6.9,6.7
320,320,2009,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,0,10000,10000
321,321,2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,176,14.7,16.9
322,322,2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,28,4.5,4.2
323,323,2011,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,7,10000,10000
324,324,2008,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,347,25.9,21.8
325,325,2012,All Other Causes,M,Other Race/ Ethnicity,24,10000,10000
326,326,2014,Septicemia (A40-A41),F,White Non-Hispanic,118,8.3,4.7
327,327,2014,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1852,176.5,148.4
328,328,2013,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,43,10000,10000
329,329,2012,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,20,3.7,4.1
330,330,2008,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,48,9.6,14.1
331,331,2008,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,14,10000,10000
332,332,2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,204,23.8,23.2
333,333,2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Hispanic,114,10.5,9.9
334,334,2013,Alzheimer's Disease (G30),F,Hispanic,120,9.6,11
335,335,2010,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,258,18,11.1
336,336,2009,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,30,5.5,7.4
337,337,2009,All Other Causes,F,Black Non-Hispanic,1305,124.6,117.3
338,338,2010,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,299,35.1,35.5
339,339,2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,70,10000,10000
340,340,2012,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,271,25.9,22.1
341,341,2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,9,10000,10000
342,342,2014,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,165,13.8,20.4
343,343,2011,All Other Causes,M,Asian and Pacific Islander,340,64.3,85.1
344,344,2007,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,116,9.9,12.8
345,345,2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,33,6,8.4
346,346,2010,All Other Causes,F,Asian and Pacific Islander,238,42.3,51.6
347,347,2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,163,11.4,7.8
348,348,2012,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3184,237.7,200.7
349,349,2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,218,20,23.1
350,350,2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,147,17.3,18.3
351,351,2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,40,10000,10000
352,352,2010,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,388,28.9,24.2
353,353,2012,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,34,10000,10000
354,354,2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,134,15.8,16.8
355,355,2009,Alzheimer's Disease (G30),F,White Non-Hispanic,205,14.3,6.5
356,356,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1958,226.8,264.7
357,357,2013,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,285,27.3,22.5
358,358,2011,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,73,13.8,22
359,359,2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,223,26.1,25.8
360,360,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,95,10000,10000
361,361,2007,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,6,10000,10000
362,362,2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,177,12.5,8.5
363,363,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,428,83.1,115.2
364,364,2012,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,205,17.5,31.5
365,365,2007,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,0,10000,10000
366,366,2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,46,8.8,8.7
367,367,2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,0,10000,10000
368,368,2012,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,55,10.2,15.1
369,369,2009,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,285,33.6,41.4
370,370,2009,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,390,27.1,15.2
371,371,2012,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,409,39.1,33.8
372,372,2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,42,6.7,6.9
373,373,2012,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3256,229.6,157.3
374,374,2009,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,0,10000,10000
375,375,2010,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,206,19.6,17.7
376,376,2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,136,13,11.6
377,377,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,41,10000,10000
378,378,2012,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,0,10000,10000
379,379,2014,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,318,36.8,42.2
380,380,2009,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,41,10000,10000
381,381,2009,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1097,91.6,107.2
382,382,2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4156,310.3,252.4
383,383,2010,Mental and Behavioral Disorders due to Use of Alcohol (F10),M,Other Race/ Ethnicity,0,10000,10000
384,384,2011,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,51,8.9,10.7
385,385,2010,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,0,10000,10000
386,386,2008,All Other Causes,M,Asian and Pacific Islander,238,47.8,63.3
387,387,2007,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,51,10000,10000
388,388,2008,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,169,19.9,26.4
389,389,2010,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3438,240.4,163
390,390,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Black Non-Hispanic,70,6.7,6.4
391,391,2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,6,10000,10000
392,392,2007,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,530,39.6,32.9
393,393,2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,182,13.6,12.3
394,394,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,546,109.6,166.3
395,395,2009,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,48,9.4,13.3
396,396,2010,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,0,10000,10000
397,397,2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,116,9.2,10.1
398,398,2011,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,5,10000,10000
399,399,2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,5,10000,10000
400,400,2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5168,384.2,319.8
401,401,2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,68,11.9,13.3
402,402,2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,0,10000,10000
403,403,2012,Cerebrovascular Disease (Stroke: I60-I69),M,Not Stated/Unknown,10,10000,10000
404,404,2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,0,10000,10000
405,405,2009,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,281,26.8,24.5
406,406,2014,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,186,21.5,21.5
407,407,2010,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156,12.8,15.4
408,408,2014,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,10,10000,10000
409,409,2010,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,501,35,20.7
410,410,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,36,6.8,8.5
411,411,2013,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,265,19.7,16.4
412,412,2010,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Not Stated/Unknown,0,10000,10000
413,413,2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,0,10000,10000
414,414,2014,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,80,12.8,14.1
415,415,2007,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,9,10000,10000
416,416,2009,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,255,30,30
417,417,2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,554,108.5,158.8
418,418,2007,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,0,10000,10000
419,419,2007,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,70,13.6,17.6
420,420,2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,142,10.6,8.8
421,421,2013,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,96,17.3,21.1
422,422,2014,Alzheimer's Disease (G30),F,Asian and Pacific Islander,26,4.2,4.7
423,423,2012,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1126,96.4,151
424,424,2014,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,73,10000,10000
425,425,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1445,122.3,160.7
426,426,2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1316,108.1,133.2
427,427,2012,Septicemia (A40-A41),F,Other Race/ Ethnicity,0,10000,10000
428,428,2011,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,11,10000,10000
429,429,2013,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,71,12.8,16.1
430,430,2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,16,10000,10000
431,431,2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,10,10000,10000
432,432,2011,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,167,14.5,18.8
433,433,2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,478,91.8,130
434,434,2012,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,540,40.3,32.3
435,435,2010,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1540,180.9,224.1
436,436,2011,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156,12.7,15
437,437,2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1349,112.7,143.8
438,438,2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1940,226.8,280.7
439,439,2011,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,290,21.7,18.2
440,440,2008,All Other Causes,F,Not Stated/Unknown,42,10000,10000
441,441,2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,173,14.8,15.5
442,442,2011,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,646,48.4,39.3
443,443,2010,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,276,20.6,17.2
444,444,2008,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,36,10000,10000
445,445,2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1354,118.5,215.5
446,446,2013,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,258,24.7,20.8
447,447,2008,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,0,10000,10000
448,448,2014,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1154,91.1,97.4
449,449,2010,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,28,5,6.7
450,450,2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,183,16.8,17.9
451,451,2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,151,10.5,5.9
452,452,2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,225,21.5,18.7
453,453,2012,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,8,10000,10000
454,454,2011,Alzheimer's Disease (G30),F,Black Non-Hispanic,90,8.6,7.4
455,455,2008,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",M,Asian and Pacific Islander,14,2.8,3
456,456,2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,164,13.7,16.7
457,457,2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,34,5.8,6.4
458,458,2010,All Other Causes,M,Not Stated/Unknown,32,10000,10000
459,459,2010,All Other Causes,F,Black Non-Hispanic,1326,126.5,117.4
460,460,2010,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,614,45.8,37.6
461,461,2013,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,0,10000,10000
462,462,2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,5,10000,10000
463,463,2009,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,0,10000,10000
464,464,2010,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,228,18.7,23.1
465,465,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,272,20.3,18.4
466,466,2007,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,358,34,32.5
467,467,2012,Alzheimer's Disease (G30),F,Hispanic,126,10.2,12.2
468,468,2013,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,93,8.9,7.6
469,469,2007,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,58,11.3,15.8
470,470,2008,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,206,24.3,31
471,471,2010,All Other Causes,F,Hispanic,1007,82.7,94.6
472,472,2013,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,437,32.5,26.4
473,473,2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,58,4.8,5.2
474,474,2011,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,451,79.1,86.1
475,475,2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,101,8.2,9.5
476,476,2012,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,0,10000,10000
477,477,2014,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1146,96,143.5
478,478,2013,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,80,13.3,14.4
479,479,2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,356,41.9,41.8
480,480,2014,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,8,10000,10000
481,481,2012,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,8,10000,10000
482,482,2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,272,20.3,18.7
483,483,2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4495,335.1,277
484,484,2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,31,10000,10000
485,485,2012,All Other Causes,F,Black Non-Hispanic,1483,141.9,127.3
486,486,2014,Diabetes Mellitus (E10-E14),F,Hispanic,209,16.5,17.9
487,487,2010,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,46,10000,10000
488,488,2007,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,237,17.7,15
489,489,2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2535,242.1,220.9
490,490,2013,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,19,10000,10000
491,491,2007,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,White Non-Hispanic,89,6.2,3.5
492,492,2010,Viral Hepatitis (B15-B19),M,Not Stated/Unknown,0,10000,10000
493,493,2009,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,384,36.7,33.7
494,494,2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5,10000,10000
495,495,2013,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,78,13,14.6
496,496,2007,All Other Causes,M,Not Stated/Unknown,43,10000,10000
497,497,2010,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,0,10000,10000
498,498,2009,Alzheimer's Disease (G30),F,Black Non-Hispanic,79,7.5,6.8
499,499,2009,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3346,232.9,159
500,500,2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,204,15.2,13.4
501,501,2011,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,6,10000,10000
502,502,2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,8,10000,10000
503,503,2007,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,472,32.9,19.6
504,504,2013,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,158,13.4,20.8
505,505,2014,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,36,5.8,6.3
506,506,2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,0,10000,10000
507,507,2008,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,265,31.2,40.2
508,508,2012,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,416,29.3,15.4
509,509,2008,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1046,88.5,104.7
510,510,2011,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,266,31.2,31.5
511,511,2014,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,220,21,17.9
512,512,2011,Alzheimer's Disease (G30),F,Other Race/ Ethnicity,0,10000,10000
513,513,2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,5,10000,10000
514,514,2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,145,12.9,13.5
515,515,2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,286,21.4,18.8
